1	5 
2	7 
3	6 
4	7 
5	10 
6	4 
7	5 
8	10 
9	6 
10	1 
11	1 
12	7 
13	1 
14	6 
15	1 
16	10 
17	5 
18	6 
19	7 
20	7 
21	1 
22	4 
23	10 
24	2 
25	10 
26	5 
27	9 
28	7 
29	6 
30	5 
31	7 
32	10 
33	4 
34	5 
35	4 
36	10 
37	7 
38	10 
39	5 
40	1 
41	9 
42	1 
43	10 
44	2 
45	2 
46	9 
47	6 
48	4 
49	8 
50	1 
51	2 
52	9 
53	5 
54	1 
55	5 
56	6 
57	9 
58	7 
59	7 
60	2 
61	5 
62	1 
63	3 
64	7 
65	6 
66	10 
67	6 
68	5 
69	4 
70	10 
71	9 
72	4 
73	9 
74	9 
75	5 
76	3 
77	8 
78	7 
79	3 
80	2 
81	6 
82	2 
83	1 
84	2 
85	9 
86	8 
87	6 
88	6 
89	3 
90	2 
91	2 
92	8 
93	1 
94	2 
95	2 
96	2 
97	7 
98	9 
99	5 
100	7 
101	5 
102	8 
103	7 
104	3 
105	5 
106	7 
107	3 
108	3 
109	4 
110	8 
111	6 
112	5 
113	5 
114	8 
115	5 
116	1 
117	9 
118	7 
119	1 
120	9 
121	7 
122	6 
123	10 
124	10 
125	5 
126	2 
127	6 
128	8 
129	3 
130	9 
131	6 
132	3 
133	3 
134	7 
135	5 
136	7 
137	8 
138	6 
139	9 
140	4 
141	7 
142	1 
143	6 
144	1 
145	3 
146	1 
147	1 
148	4 
149	8 
150	1 
151	8 
152	6 
153	5 
154	9 
155	5 
156	6 
157	5 
158	6 
159	7 
160	7 
161	9 
162	9 
163	5 
164	7 
165	8 
166	7 
167	6 
168	3 
169	3 
170	6 
171	5 
172	7 
173	4 
174	9 
175	1 
176	1 
177	2 
178	5 
179	1 
180	5 
181	6 
182	10 
183	6 
184	2 
185	6 
186	7 
187	1 
188	6 
189	5 
190	2 
191	1 
192	7 
193	2 
194	7 
195	7 
196	2 
197	1 
198	5 
199	4 
200	4 
201	5 
202	3 
203	4 
204	10 
205	2 
206	3 
207	1 
208	5 
209	9 
210	10 
211	5 
212	6 
213	3 
214	7 
215	6 
216	4 
217	5 
218	6 
219	7 
220	9 
221	2 
222	9 
223	7 
224	9 
225	3 
226	1 
227	6 
228	5 
229	4 
230	7 
231	5 
232	10 
233	5 
234	6 
235	1 
236	9 
237	1 
238	10 
239	4 
240	5 
241	4 
242	4 
243	2 
244	3 
245	5 
246	10 
247	8 
248	7 
249	5 
250	10 
251	3 
252	3 
253	5 
254	2 
255	7 
256	6 
257	2 
258	6 
259	2 
260	5 
261	2 
262	6 
263	2 
264	1 
265	9 
266	3 
267	5 
268	7 
269	7 
270	3 
271	3 
272	10 
273	4 
274	6 
275	5 
276	9 
277	2 
278	1 
279	1 
280	10 
281	7 
282	9 
283	1 
284	3 
285	8 
286	1 
287	5 
288	6 
289	6 
290	3 
291	10 
292	8 
293	10 
294	2 
295	5 
296	7 
297	8 
298	10 
299	10 
300	10 
301	6 
302	7 
303	7 
304	5 
305	9 
306	1 
307	9 
308	1 
309	4 
310	6 
311	10 
312	6 
313	6 
314	8 
315	10 
316	1 
317	7 
318	6 
319	6 
320	1 
321	9 
322	5 
323	1 
324	2 
325	8 
326	9 
327	1 
328	1 
329	7 
330	5 
331	10 
332	3 
333	8 
334	8 
335	7 
336	2 
337	3 
338	6 
339	5 
340	4 
341	5 
342	9 
343	1 
344	4 
345	8 
346	7 
347	1 
348	2 
349	5 
350	8 
351	3 
352	4 
353	3 
354	10 
355	3 
356	2 
357	8 
358	9 
359	7 
360	8 
361	6 
362	3 
363	1 
364	6 
365	1 
366	7 
367	6 
368	4 
369	5 
370	7 
371	1 
372	1 
373	7 
374	3 
375	5 
376	2 
377	3 
378	10 
379	7 
380	3 
381	4 
382	1 
383	5 
384	5 
385	4 
386	5 
387	6 
388	7 
389	2 
390	3 
391	6 
392	10 
393	5 
394	6 
395	7 
396	5 
397	6 
398	4 
399	1 
400	5 
401	1 
402	5 
403	5 
404	3 
405	3 
406	4 
407	5 
408	4 
409	7 
410	7 
411	6 
412	8 
413	6 
414	5 
415	5 
416	8 
417	5 
418	6 
419	2 
420	2 
421	6 
422	6 
423	7 
424	7 
425	1 
426	5 
427	7 
428	8 
429	3 
430	1 
431	5 
432	4 
433	7 
434	3 
435	6 
436	6 
437	5 
438	6 
439	6 
440	6 
441	6 
442	9 
443	2 
444	6 
445	3 
446	7 
447	7 
448	7 
449	3 
450	2 
451	3 
452	1 
453	1 
454	4 
455	8 
456	1 
457	2 
458	3 
459	8 
460	5 
461	1 
462	8 
463	5 
464	2 
465	2 
466	2 
467	10 
468	4 
469	9 
470	4 
471	5 
472	6 
473	8 
474	5 
475	5 
476	7 
477	1 
478	8 
479	10 
480	5 
481	4 
482	1 
483	3 
484	1 
485	6 
486	5 
487	10 
488	5 
489	5 
490	1 
491	3 
492	9 
493	8 
494	2 
495	5 
496	2 
497	6 
498	4 
499	6 
500	5 
501	5 
502	7 
503	7 
504	5 
505	3 
506	7 
507	8 
508	3 
509	7 
510	5 
511	4 
512	2 
513	9 
514	10 
515	4 
516	1 
517	7 
518	3 
519	4 
520	4 
521	6 
522	9 
523	10 
524	7 
525	9 
526	8 
527	6 
528	3 
529	3 
530	2 
531	1 
532	6 
533	2 
534	7 
535	8 
536	7 
537	6 
538	3 
539	1 
540	10 
541	9 
542	7 
543	7 
544	4 
